runId,executionOrder,startedAt,endedAt,readerType,targetRows,indexMode,indexVerified,indexDefinition,repetition,durationNs,durationMs,durationSeconds,readCount,writeCount,commitCount,checksum,exitStatus,peakOldGenBytes,oldGenMeasurement,gcLogPath,explainArtifactPath,jvmOptions,countValid
m14-500000-off-keyset-r1,14,2026-09-05T06:07:50.317588300Z,2026-09-05T06:08:06.123492100Z,KEYSET,500000,OFF,true,"ABSENT",1,15803301100,15803.301,15.803,500000,500000,501,4121634000000,COMPLETED,2476928,"MEASURED","results/gc/m14-500000-off-keyset-r1.log","results/explain/500000-keyset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m15-500000-on-offset-r1,15,2026-09-05T06:08:16.812864500Z,2026-09-05T06:09:05.291030100Z,OFFSET,500000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",1,48476893100,48476.893,48.477,500000,500000,501,4121634000000,COMPLETED,2470016,"MEASURED","results/gc/m15-500000-on-offset-r1.log","results/explain/500000-offset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m16-500000-on-keyset-r1,16,2026-09-05T06:09:15.651911400Z,2026-09-05T06:09:33.206028500Z,KEYSET,500000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",1,17551694800,17551.695,17.552,500000,500000,501,4121634000000,COMPLETED,2420288,"MEASURED","results/gc/m16-500000-on-keyset-r1.log","results/explain/500000-keyset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m17-500000-on-keyset-r2,17,2026-09-05T06:09:43.726198400Z,2026-09-05T06:09:56.385596100Z,KEYSET,500000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",2,12658890400,12658.890,12.659,500000,500000,501,4121634000000,COMPLETED,2394368,"MEASURED","results/gc/m17-500000-on-keyset-r2.log","results/explain/500000-keyset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m18-500000-on-offset-r2,18,2026-09-05T06:10:07.602324700Z,2026-09-05T06:10:51.457662300Z,OFFSET,500000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",2,43854309600,43854.310,43.854,500000,500000,501,4121634000000,COMPLETED,2431520,"MEASURED","results/gc/m18-500000-on-offset-r2.log","results/explain/500000-offset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m19-500000-off-keyset-r2,19,2026-09-05T06:11:01.219427900Z,2026-09-05T06:11:12.492259300Z,KEYSET,500000,OFF,true,"ABSENT",2,11272405800,11272.406,11.272,500000,500000,501,4121634000000,COMPLETED,2407040,"MEASURED","results/gc/m19-500000-off-keyset-r2.log","results/explain/500000-keyset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m20-500000-off-offset-r2,20,2026-09-05T06:11:21.465702900Z,2026-09-05T06:11:55.093119Z,OFFSET,500000,OFF,true,"ABSENT",2,33626092200,33626.092,33.626,500000,500000,501,4121634000000,COMPLETED,2394368,"MEASURED","results/gc/m20-500000-off-offset-r2.log","results/explain/500000-offset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m21-500000-off-offset-r3,21,2026-09-05T06:12:02.910364200Z,2026-09-05T06:12:35.410081700Z,OFFSET,500000,OFF,true,"ABSENT",3,32498901000,32498.901,32.499,500000,500000,501,4121634000000,COMPLETED,2431632,"MEASURED","results/gc/m21-500000-off-offset-r3.log","results/explain/500000-offset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m22-500000-off-keyset-r3,22,2026-09-05T06:12:42.762684300Z,2026-09-05T06:12:52.002392900Z,KEYSET,500000,OFF,true,"ABSENT",3,9238549000,9238.549,9.239,500000,500000,501,4121634000000,COMPLETED,2365584,"MEASURED","results/gc/m22-500000-off-keyset-r3.log","results/explain/500000-keyset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m23-500000-on-offset-r3,23,2026-09-05T06:13:00.741530600Z,2026-09-05T06:13:33.521741100Z,OFFSET,500000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",3,32779281900,32779.282,32.779,500000,500000,501,4121634000000,COMPLETED,2435648,"MEASURED","results/gc/m23-500000-on-offset-r3.log","results/explain/500000-offset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m24-500000-on-keyset-r3,24,2026-09-05T06:13:41.736138800Z,2026-09-05T06:13:51.838396400Z,KEYSET,500000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",3,10101260700,10101.261,10.101,500000,500000,501,4121634000000,COMPLETED,2395408,"MEASURED","results/gc/m24-500000-on-keyset-r3.log","results/explain/500000-keyset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m25-1000000-off-offset-r1,25,2026-09-05T06:20:38.801507800Z,2026-09-05T06:23:12.662423300Z,OFFSET,1000000,OFF,true,"ABSENT",1,153858252400,153858.252,153.858,1000000,1000000,1001,16000015000000,COMPLETED,2419136,"MEASURED","results/gc/m25-1000000-off-offset-r1.log","results/explain/1000000-offset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m26-1000000-off-keyset-r1,26,2026-09-05T06:23:23.980518300Z,2026-09-05T06:23:44.529799700Z,KEYSET,1000000,OFF,true,"ABSENT",1,20548633900,20548.634,20.549,1000000,1000000,1001,16000015000000,COMPLETED,2440976,"MEASURED","results/gc/m26-1000000-off-keyset-r1.log","results/explain/1000000-keyset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m27-1000000-on-offset-r1,27,2026-09-05T06:23:53.535620300Z,2026-09-05T06:26:09.470344300Z,OFFSET,1000000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",1,135933290700,135933.291,135.933,1000000,1000000,1001,16000015000000,COMPLETED,2468672,"MEASURED","results/gc/m27-1000000-on-offset-r1.log","results/explain/1000000-offset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m28-1000000-on-keyset-r1,28,2026-09-05T06:26:17.764973400Z,2026-09-05T06:26:35.111472700Z,KEYSET,1000000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",1,17346080400,17346.080,17.346,1000000,1000000,1001,16000015000000,COMPLETED,2400896,"MEASURED","results/gc/m28-1000000-on-keyset-r1.log","results/explain/1000000-keyset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m29-1000000-on-keyset-r2,29,2026-09-05T06:26:42.726878800Z,2026-09-05T06:27:01.782079800Z,KEYSET,1000000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",2,19054124800,19054.125,19.054,1000000,1000000,1001,16000015000000,COMPLETED,2420176,"MEASURED","results/gc/m29-1000000-on-keyset-r2.log","results/explain/1000000-keyset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m30-1000000-on-offset-r2,30,2026-09-05T06:27:11.147297100Z,2026-09-05T06:29:27.854308200Z,OFFSET,1000000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",2,136704824500,136704.825,136.705,1000000,1000000,1001,16000015000000,COMPLETED,2429664,"MEASURED","results/gc/m30-1000000-on-offset-r2.log","results/explain/1000000-offset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m31-1000000-off-keyset-r2,31,2026-09-05T06:29:38.651396Z,2026-09-05T06:29:57.683805Z,KEYSET,1000000,OFF,true,"ABSENT",2,19030651900,19030.652,19.031,1000000,1000000,1001,16000015000000,COMPLETED,2390352,"MEASURED","results/gc/m31-1000000-off-keyset-r2.log","results/explain/1000000-keyset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m32-1000000-off-offset-r2,32,2026-09-05T06:30:06.128236900Z,2026-09-05T06:33:45.266601200Z,OFFSET,1000000,OFF,true,"ABSENT",2,219095714200,219095.714,219.096,1000000,1000000,1001,16000015000000,COMPLETED,2419136,"MEASURED","results/gc/m32-1000000-off-offset-r2.log","results/explain/1000000-offset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m33-1000000-off-offset-r3,33,2026-09-05T06:33:56.536888400Z,2026-09-05T06:36:35.035216900Z,OFFSET,1000000,OFF,true,"ABSENT",3,158464783400,158464.783,158.465,1000000,1000000,1001,16000015000000,COMPLETED,2408816,"MEASURED","results/gc/m33-1000000-off-offset-r3.log","results/explain/1000000-offset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m34-1000000-off-keyset-r3,34,2026-09-05T06:36:44.745007Z,2026-09-05T06:37:03.679214700Z,KEYSET,1000000,OFF,true,"ABSENT",3,18932893800,18932.894,18.933,1000000,1000000,1001,16000015000000,COMPLETED,2456288,"MEASURED","results/gc/m34-1000000-off-keyset-r3.log","results/explain/1000000-keyset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m35-1000000-on-offset-r3,35,2026-09-05T06:37:12.852768300Z,2026-09-05T06:39:17.279793700Z,OFFSET,1000000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",3,124424197300,124424.197,124.424,1000000,1000000,1001,16000015000000,COMPLETED,2402624,"MEASURED","results/gc/m35-1000000-on-offset-r3.log","results/explain/1000000-offset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m36-1000000-on-keyset-r3,36,2026-09-05T06:39:25.514750500Z,2026-09-05T06:39:44.046561400Z,KEYSET,1000000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",3,18530795100,18530.795,18.531,1000000,1000000,1001,16000015000000,COMPLETED,2453760,"MEASURED","results/gc/m36-1000000-on-keyset-r3.log","results/explain/1000000-keyset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
